world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
27,Georgia Institute of Technology,United States of America,62.5,68.9,71.2,85.8,72.3,19967,20.1,0.26,0.449
28,University of Texas at Austin,United States of America,64.3,33.1,72,91.5,58.1,49427,17.4,0.09,1.041
29,LMU Munich,Germany,65.1,56.4,69.1,83,100,35691,15.5,0.13,1.632
29,University of Illinois at Urbana-Champaign,United States of America,67.7,43.9,79,77.8,51.7,42727,18.7,0.2,0.887
29,University of Wisconsin-Madison,United States of America,67.7,33.6,71.3,87.7,53.3,39655,10.8,0.11,1.041
32,University of British Columbia,Canada,60.5,84.8,69,85.3,40.1,50152,17.6,0.25,1.174
33,University of Melbourne,Australia,60.4,81.3,70.9,80.6,61.2,40128,23.7,0.35,1.222
34,École Polytechnique Fédérale de Lausanne,Switzerland,54.7,98.8,56.9,95,61.9,9666,10.5,0.54,0.37
36,University of Edinburgh,United Kingdom,58.9,84.3,62.9,88.3,41.2,25774,14.1,0.36,1.381
37,"University of California, Santa Barbara",United States of America,49.4,64.3,61.4,99.2,87.1,22020,27.3,0.11,1.083
38,New York University,United States of America,68.3,41.2,62.4,89.5,30.2,42056,6.8,0.19,1.222
39,McGill University,Canada,63.3,79,69.9,76,38.6,31326,13.7,0.23,1.273
40,King’s College London,United Kingdom,55.6,87,62.3,88.3,39,21394,11.4,0.37,1.564
41,"University of California, San Diego",United States of America,52,37,66.6,96.4,54.2,27233,6.5,0.11,0.923
42,Washington University in St Louis,United States of America,57.6,46.5,55.2,97.1,53.7,12528,5.7,0.17,1
43,University of Hong Kong,Hong Kong,62.1,81.9,72.6,65.1,56,19835,17.6,0.38,1.128
44,Karolinska Institute,Sweden,57.1,60.6,68,76.8,65.5,7774,11.5,0.22,2.333
45,Australian National University,Australia,53.7,91.3,70.9,71.1,38.9,14604,19.2,0.35,1.083
46,University of Minnesota,United States of America,59.9,33.8,64.7,82.9,44.6,46825,18,0.13,1.083
46,University of North Carolina at Chapel Hill,United States of America,57.9,35.3,58.6,91,40.5,26518,7.3,0.08,1.381
48,Peking University,China,70,53.7,61.9,63.7,100,40148,8.3,0.14,1
49,Tsinghua University,China,64.1,44.6,68.3,65,99.7,39763,13.7,0.1,0.471
50,Seoul National University,South Korea,75.5,30.3,77.1,48.7,86.3,26389,13.9,0.1,1
51,Hong Kong University of Science and Technology,Hong Kong,51.8,77.8,66.8,72.9,57.6,11385,23.8,0.36,1
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,34.9,63.2,71.4,100,9027,10,0.09,0.25
52,University of Manchester,United Kingdom,58.1,82,58.7,74.3,39.4,34938,15.3,0.34,1.083
54,Brown University,United States of America,55.5,37,54.2,92,32.7,8653,10.1,0.19,1
55,KU Leuven,Belgium,53,62.3,63.6,71.8,99.9,42503,41.9,0.18,1.174
55,"University of California, Davis",United States of America,54.4,52.9,59.7,80.4,55.4,35364,13.9,0.13,1.174
57,Boston University,United States of America,56.4,47.8,46.7,94.4,30.3,24789,8.6,0.17,1.381
58,Pennsylvania State University,United States of America,54.6,37.4,64.8,76,60.4,44501,12.4,0.12,0.852
59,Kyoto University,Japan,70.4,29,68.4,57,73.3,22809,5.6,0.07,1
60,University of Sydney,Australia,52.8,83.6,60.8,69,67.3,41868,20.2,0.28,1.326
61,Nanyang Technological University,Singapore,43.9,92.5,55.9,75.9,100,25028,16.2,0.33,0.923
61,École Polytechnique,France,50.5,94.5,47.1,79.9,76.8,2429,4.8,0.3,0.22
63,Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46,96.4,40.1,462,16.5,0.05,0.389
64,Leiden University,Netherlands,45,59.5,58.2,82.3,47.3,21222,17.1,0.1,1.439
65,The University of Queensland,Australia,45.8,80.4,58.4,74.2,66.2,34718,32.7,0.27,1.128
66,Pohang University of Science and Technology,South Korea,52.7,36,49.3,84.4,100,3055,10.1,0.04,0.25
67,University of Göttingen,Germany,46.9,53.9,48,92.3,32.8,25581,25.6,0.12,1.041
68,Ohio State University,United States of America,54,51.5,51.1,80.4,46.8,51462,13.4,0.12,0.961
69,Rice University,United States of America,41.7,70.8,37.1,99.9,34.6,6333,9,0.26,0.786
70,Heidelberg University,Germany,52.6,63.1,45.4,81.4,41.6,28881,24.5,0.17,1.222
71,Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,100,15920,19.4,0.25,0.351
72,Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,54.4,20580,18.9,0.18,0.923
73,Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,100,9248,17,0.21,1.273
74,University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,42.1,17906,14,0.25,1.128
75,University of Basel,Switzerland,41.2,91.2,41.1,81.4,97.7,12551,17.3,0.24,1.174
75,University of Southern California,United States of America,55.2,42.7,44.6,81.3,34.4,36534,12.9,0.2,1.083
77,University of Amsterdam,Netherlands,42,60.5,55.4,76.6,56.7,24570,14.4,0.11,1.128
78,École Normale Supérieure,France,48.7,81.9,36.2,84.8,39.4,2400,7.9,0.2,0.852
79,Utrecht University,Netherlands,38.2,52.9,54.8,80,84.1,30779,15.4,0.07,1.439
80,Humboldt University of Berlin,Germany,51.9,55.7,52.6,71.9,31.9,29987,52.5,0.16,1
81,Free University of Berlin,Germany,49.4,56.6,58,67.6,33.5,33062,39.3,0.2,1.381
82,Michigan State University,United States of America,51.1,55,49.4,74,31.7,44750,15.7,0.15,1.041
83,Durham University,United Kingdom,37.2,80.4,40.7,88.9,34.8,15489,15.7,0.24,1.174
83,Monash University,Australia,43.7,79.6,54.4,65.7,73.4,50882,40.5,0.36,1.273
85,Middle East Technical University,Turkey,45.5,38.7,36.9,92,55.2,25779,22.2,0.07,0.786
86,University of Arizona,United States of America,44.9,38.8,51.4,74,99.6,36429,12.7,0.08,1.083
86,University of Notre Dame,United States of America,43.3,51.4,38.5,90,44.2,11829,13.8,0.1,0.786
88,Tufts University,United States of America,43.6,51.1,33.9,92.9,58.7,10410,10,0.14,1.174
88,"University of California, Irvine",United States of America,39.5,56.1,41.7,89.5,40,26614,16.1,0.16,1.083
90,Ghent University,Belgium,42.5,49.1,51.6,73.8,85.3,32166,34.1,0.09,1.326
91,University of Massachusetts,United States of America,44.8,40.3,49.1,78.7,52.8,56959,13,0.11,0.961
91,University of Pittsburgh,United States of America,45.2,32.2,46.3,84.4,38.5,26485,5.8,0.1,1.041
93,Emory University,United States of America,49,42.9,32.4,89.5,42.3,12338,4.5,0.18,1.273
94,McMaster University,Canada,38.1,69.4,43.2,78.8,85,23823,19.3,0.15,1.128
94,University of Glasgow,United Kingdom,37,78.8,40.5,83.7,39.9,22616,16,0.29,1.326
96,Vanderbilt University,United States of America,46,28.3,38.2,87.7,59.4,12161,3.6,0.1,1.083
97,University of Colorado Boulder,United States of America,35,39.1,38.3,97.4,38.3,29325,16.1,0.08,0.818
98,Stockholm University,Sweden,30.1,53.2,45,90.9,32.4,31715,23.7,0.08,1.632
98,Technical University of Munich,Germany,45.6,64,37.4,78.8,49,35565,31.5,0.2,0.493
98,Uppsala University,Sweden,40.2,57.5,53,70.9,39.6,25266,18.2,0.12,1.326
101,Maastricht University,Netherlands,32.4,89.7,48.1,70.1,96.1,15626,18.9,0.48,1.273
102,Purdue University,United States of America,47.8,64.3,50.5,62.2,41.1,39256,18.1,0.22,0.724
103,Pierre and Marie Curie University,France,47.3,64.7,30,83.3,33.4,27862,8.7,0.18,0.923
103,University of Helsinki,Finland,37.5,49.7,48.1,79,31.5,23505,15.1,0.06,1.941
103,University of Warwick,United Kingdom,41.1,85.7,45.8,68.2,35.6,18529,16.6,0.37,0.923
103,University of Zurich,Switzerland,40.2,86.9,33.1,81.4,40.1,26583,6.5,0.19,1.326
107,Queen Mary University of London,United Kingdom,32.4,88.6,32.9,88.9,37.1,14260,14,0.4,1.083
107,University of Geneva,Switzerland,34.5,96.8,37.2,78.2,65.1,15668,15,0.39,1.564
109,"University of California, Santa Cruz",United States of America,30.6,54.6,31.9,100,33.8,17404,22.7,0.01,1.128
109,University of New South Wales,Australia,41.1,83.5,51.9,61.1,47.8,38309,25.9,0.33,0.887
111,University of St Andrews,United Kingdom,35.7,90.5,35.9,81.4,39.8,8338,12.7,0.47,1.273
111,University of Sussex,United Kingdom,31.9,83.6,30.4,92.8,31.2,12001,17.4,0.35,1.174
113,University of Montreal,Canada,43.8,76.7,44.4,62.9,91.8,38264,20.3,0.25,1.326
113,University of Tübingen,Germany,41.5,53,44.7,74,54.7,28327,38.9,0.12,1.381
116,Case Western Reserve University,United States of America,46.5,34.4,37.4,82.9,23.2,9259,6.4,0.17,0.923
117,University of Groningen,Netherlands,36.9,56.1,50.8,68.1,88.9,24556,25.6,0.12,1.083
118,"Royal Holloway, University of London",United Kingdom,29.1,94.4,22.4,98.9,32.8,8747,15.9,0.37,1.326
119,Lund University,Sweden,32.6,70.1,48.5,74.9,32.6,28251,11.5,0.15,1
120,Paris-Sud University,France,37.3,62.7,33.1,87.7,28.9,27603,15,0.17,1
121,Technical University of Denmark,Denmark,39.9,79.7,28.2,79.6,98.6,9990,5,0.18,0.37
121,University of Rochester,United States of America,41.9,55.5,29.2,87.7,36.4,9390,4.5,0.26,0.961
121,University of Sheffield,United Kingdom,40,74.8,39.1,74.3,43.8,23311,15.5,0.31,1
124,University of Alberta,Canada,43.8,73.4,47.1,61.8,51.8,36299,21.6,0.23,1.222
124,University of Cape Town,South Africa,26.8,76.7,35.3,86.6,88,20040,12.1,0.18,1.128
126,Boston College,United States of America,32.4,54.6,29.1,95.9,46.5,13216,17.4,0.19,1.174
126,KTH Royal Institute of Technology,Sweden,45.7,84,44.8,55.1,100,12062,14.6,0.21,0.429
126,University of Florida,United States of America,49.8,32.2,52.1,62.2,34.2,50095,18.7,0.09,1.174
129,Chinese University of Hong Kong,Hong Kong,43.9,64,53.5,57.8,42.8,17916,10.2,0.22,1.128
130,University of Virginia,United States of America,48.7,31.8,35.9,76.9,49.8,23845,10.2,0.12,1.083
131,Lancaster University,United Kingdom,35.4,84.7,36.1,78,34.1,11512,14.9,0.33,1.083
132,University of Bern,Switzerland,42,80.7,36.9,70.1,47.4,14708,22.5,0.14,1.174
132,"University of Maryland, College Park",United States of America,36.5,44.8,39.1,83.6,33.2,31331,8.4,0.09,0.923
132,University of Southampton,United Kingdom,35.2,82.4,34.1,79.7,38.9,20925,13.5,0.29,1.128
135,TU Dresden,Germany,39.8,44.7,42,70.8,99.5,35487,37.4,0.12,0.724
136,University of Lausanne,Switzerland,29.4,85.1,39.9,76.5,50.9,11964,13.1,0.22,1
136,VU University Amsterdam,Netherlands,35.5,50.6,43.2,74.9,60,23280,16.3,0.06,1.273
138,Trinity College Dublin,Republic of Ireland,39.4,83.9,30.3,77.6,30.6,15521,18,0.25,1.326
139,Boğaziçi University,Turkey,28.5,54.1,27.6,96.8,47.7,11506,25,0.07,1
140,Radboud University Nijmegen,Netherlands,30.5,61.6,46.7,73.9,42.8,17713,13,0.1,1.381
141,Colorado School of Mines,United States of America,26.1,52.6,26.7,97.1,79.4,5287,18.2,0.12,0.351
141,Texas A&M University,United States of America,46.2,49.1,51.9,55.1,49.6,50657,21.4,0.09,0.887
141,Tokyo Institute of Technology,Japan,53.5,37,52.9,48.1,69.4,9586,7.3,0.13,0.149
144,Eindhoven University of Technology,Netherlands,38.3,69,47.1,57.3,99.9,8176,16,0.14,0.235
144,"Rutgers, the State University of New Jersey",United States of America,40.5,34.3,45.3,71,35.2,37032,17.3,0.08,1.041
146,University of Leeds,United Kingdom,39.4,67.6,39.1,69.3,39.4,27703,14.7,0.21,1.381
147,Brandeis University,United States of America,25.8,54.7,29.1,95.3,43.9,5495,12.6,0.22,1.222
148,Sungkyunkwan University (SKKU),South Korea,48.1,35.8,50.2,51.7,98.5,24365,20.3,0.09,0.639
148,University of Birmingham,United Kingdom,42.8,75.8,39.8,62.7,36,25295,16.4,0.23,1.174
150,Indiana University,United States of America,46.5,37.1,35.1,73.1,36.3,62468,13.6,0.13,1.128
150,"University of California, Riverside",United States of America,29.4,61.6,27.5,91.5,39.5,20626,22,0.12,1.041
152,Dartmouth College,United States of America,38.3,33.1,35.4,80.4,49.1,6178,6.6,0.16,0.887
153,Aarhus University,Denmark,30.9,66.3,47.5,66.5,59.8,23895,13.6,0.14,1.174
154,University of Exeter,United Kingdom,32,79.8,32.7,78,35.8,17755,18.8,0.28,1.174
155,National Taiwan University,Taiwan,48.8,27.5,57.3,47.7,43.8,31891,11.9,0.07,0.639
156,RWTH Aachen University,Germany,39,56.8,29.9,75,69.8,37917,27.6,0.16,0.449
157,Osaka University,Japan,51.3,29.1,48,51.1,73.6,23144,7.8,0.09,0.449
157,University of Liverpool,United Kingdom,31.3,79.5,33.2,76.2,40,18815,13.6,0.3,1.083
157,University of Western Australia,Australia,36.3,87.3,38.1,62.2,63.3,20851,20.7,0.27,1
160,University of Copenhagen,Denmark,34,71.8,34.4,73.5,44.4,27545,4.1,0.19,2.03
160,École Normale Supérieure de Lyon,France,38.1,64.4,33.8,73,29.3,2218,8,0.14,0.961
162,University of Utah,United States of America,38.8,27.5,36.5,75,58.1,25674,16.9,0.09,0.818
163,University of Freiburg,Germany,38,56.7,28.1,74,81.4,26467,31.2,0.16,1.083
164,University of Adelaide,Australia,33.8,79.3,40.4,61.1,65.3,20771,30.1,0.26,0.923
165,Istanbul Technical University,Turkey,30.2,37.3,36.9,79.7,51.1,34550,16,0.05,0.515
165,Karlsruhe Institute of Technology,Germany,40.5,60.1,34.9,62.9,82.7,25294,24.6,0.16,0.351
165,Pompeu Fabra University,Spain,25.1,63.2,28.3,88.3,35.9,10901,18.3,0.13,1.439
165,Tohoku University,Japan,49.7,29.7,47.3,49.6,76.8,17200,5,0.07,0.333
169,University of Miami,United States of America,42.7,56.7,27.2,73.1,33.9,15286,5.7,0.14,1
170,University of Antwerp,Belgium,34.6,61,33.6,67.7,100,12346,30.3,0.16,1.273
171,University of Nottingham,United Kingdom,39.9,70.6,35.8,62.7,39.6,30144,15,0.27,1.174
171,Université Catholique de Louvain,Belgium,37.9,59.7,34.9,67.7,46.1,28856,42,0.19,1.174
173,Georgetown University,United States of America,51.1,43.3,28.2,62.2,80,15408,8.5,0.14,1.128
173,University of Victoria,Canada,21.6,70.1,30.6,86.7,31.6,17581,21.5,0.11,1.273
175,University of Auckland,New Zealand,28.6,87.3,33.4,68.4,74.2,29787,18.9,0.28,1.174
175,University of Iowa,United States of America,41.9,31.7,33.5,71,49.3,27526,11.6,0.11,1.083
177,Syracuse University,United States of America,32.4,41.2,24.4,87.1,40.6,19660,15.9,0.15,1.222
178,Joseph Fourier University,France,38,57.3,29.3,73,31.3,16130,12.1,0.13,1
178,University of Aberdeen,United Kingdom,28,84.1,30.2,74.3,42.1,12938,15.8,0.33,1.174
180,Paris Diderot University – Paris 7,France,25.6,67.4,19.7,92.2,29.1,27756,14.8,0.17,1.703
180,University of Delaware,United States of America,29,40.6,36.3,73.1,99.3,19262,15.9,0.1,1.273
182,Arizona State University,United States of America,35.7,29.5,37.5,73.1,32.6,83236,29.9,0.09,1
182,Sabancı University,Turkey,26,44.6,27.1,88.5,42.9,2739,15.9,0.06,0.639
182,University of Vienna,Austria,35.2,91,39.7,56.3,29.4,34651,20.5,0.25,2.03
185,Northeastern University,United States of America,36.4,54.7,21.9,81.3,34,18539,15.1,0.26,1
186,University of Oslo,Norway,36.1,60.3,35.2,66.3,36.6,27139,18.8,0.18,1
186,Yeshiva University,United States of America,45.2,27.6,23.9,77.8,22.4,6753,5.5,0.07,1.128
188,Stony Brook University,United States of America,32.8,60.5,24.4,80.4,31.3,21908,10.9,0.24,1
188,Tel Aviv University,Israel,43.5,46.1,51.1,45.5,42.6,23977,24.4,0.04,1
188,University of Ottawa,Canada,37.9,63.2,34.7,62.9,45.9,36733,26.3,0.15,1.5
191,University at Buffalo,United States of America,40.1,57,39.8,57.5,39.6,25668,19,0.19,0.887
192,City University of Hong Kong,Hong Kong,31,71.3,32.9,68.6,49.8,10015,7.1,0.28,1.041
193,Fudan University,China,45.6,37.4,34,61,49.4,32175,12.2,0.11,1
193,Iowa State University,United States of America,36.4,40.6,30.9,72,54.4,29991,17.4,0.11,0.786
195,University of Bonn,Germany,32.2,54.8,22.2,83.8,21.2,32474,70.4,0.13,1.222
196,Lomonosov Moscow State University,Russian Federation,55.9,60.4,42.1,33.8,78.5,30822,7.7,0.2,0.754
196,"St George’s, University of London",United Kingdom,23.1,55.8,27.3,86.4,32.4,2958,13.4,0.17,1.564
198,University of East Anglia,United Kingdom,25.2,76.5,22.6,83.7,29.2,14992,14.7,0.28,1.381
199,University of Leicester,United Kingdom,29.8,83.9,31.6,67.1,34.8,14541,13.4,0.35,1.174
200,Florida Institute of Technology,United States of America,19.7,63,13.1,99.2,53.7,4408,13.7,0.26,0.515
200,George Washington University,United States of America,44.6,39.9,25.1,70,29.3,20541,12,0.16,1.273
201-225,Cardiff University,United Kingdom,30.5,69.3,30.4,69.3,34.8,23347,13.1,0.23,1.326
201-225,Goethe University Frankfurt,Germany,28.1,55.6,22.4,78.8,38.8,31861,9.3,0.15,1.5
201-225,Hebrew University of Jerusalem,Israel,41.5,53.3,36.3,57.2,31.5,17612,10.7,0.05,1.222
201-225,Hong Kong Polytechnic University,Hong Kong,33.7,69.9,36.5,56.5,42.6,22064,25.9,0.26,1.041
201-225,Korea University,South Korea,48.9,35.9,44.3,39.9,98.5,24043,15.8,0.14,1
201-225,Newcastle University,United Kingdom,30.3,73.8,29.6,70.3,35,20174,15.2,0.29,1
201-225,Technion Israel Institute of Technology,Israel,36.9,60.6,37.5,52,36.5,13855,19.4,0.04,0.538
201-225,Ulm University,Germany,35,54.1,22,73,56.7,9187,11.2,0.1,0.887
201-225,University of Barcelona,Spain,28.4,47.8,28.8,79.7,31,47491,12.2,0.1,1.632
201-225,University of Bergen,Norway,29.5,65.3,27.9,68.5,34.2,11623,11.1,0.12,1.5
201-225,University of Dundee,United Kingdom,24.4,64.5,22.5,84.4,47.7,11628,15.3,0.25,1.5
201-225,University of Illinois at Chicago,United States of America,43,53.4,34.1,55.1,40.7,24313,9.2,0.17,1.128
201-225,University of Innsbruck,Austria,23.9,93.4,17.1,77,42,18209,16.9,0.39,1.174
201-225,University of Reading,United Kingdom,32.8,75,34,58.1,34.9,12050,14.8,0.28,1.222
201-225,University of Science and Technology of China,China,36.9,26.3,27.3,73.6,71.6,14290,7.9,0.02,1
201-225,University of Strasbourg,France,28.6,69.5,23.4,74,32,46208,17.8,0.21,1.381
201-225,University of São Paulo,Brazil,51.6,25.3,51.6,32.3,40.1,81402,14.6,0.04,0.923
201-225,University of Texas at Dallas,United States of America,26,55.4,28.2,77.8,41.6,16306,22.8,0.23,0.786
201-225,University of Trieste,Italy,28.7,50.7,16,88.1,33.3,18135,25.8,0.09,1.273
201-225,University of Twente,Netherlands,32.3,67.2,45.3,49.4,89.2,6631,12,0.26,0.587
201-225,Université Libre de Bruxelles,Belgium,26.7,79.4,36.2,64.4,50.7,23819,26.1,0.32,1.174
201-225,Wake Forest University,United States of America,33.3,26,23.5,81.3,38.2,7326,4.6,0.05,1.041
201-225,William & Mary,United States of America,36.8,26.5,19.9,78.7,30,7867,11.8,0.07,1.174
201-225,Yonsei University,South Korea,44.5,35.7,45.8,44.3,69.7,24774,11.6,0.14,1
226-250,Autonomous University of Barcelona,Spain,30.4,46.4,29.2,67,34.6,30538,12.3,0.1,1.439
226-250,"Birkbeck, University of London",United Kingdom,28.3,84.4,29.3,60.4,28.7,9454,17.2,0.38,1.222
226-250,Brunel University London,United Kingdom,22.1,88.8,21.4,75.3,31.9,12613,17.6,0.38,0.852
226-250,Carleton University,Canada,24.3,61.1,24.5,76.9,30.7,25036,29.8,0.18,0.887
226-250,Dalhousie University,Canada,33.6,71.6,30,54.4,68.9,15064,14.4,0.18,1.222
226-250,Laval University,Canada,35.8,55.7,29.9,58.1,62.7,27227,16.2,0.12,1
226-250,Mines ParisTech,France,39.6,58.7,23.2,55.1,99,1283,5.6,0.22,0.389
226-250,Nagoya University,Japan,37.5,31.8,31.8,59.9,86.3,15529,7.9,0.1,0.408
226-250,Rensselaer Polytechnic Institute,United States of America,30.9,42.8,26.2,67.8,49.9,6671,15,0.16,0.429
226-250,Simon Fraser University,Canada,24.6,61.4,29.3,67.6,41.8,26640,28.3,0.19,1.222
226-250,Tokyo Metropolitan University,Japan,19.6,39.5,9.8,100,31,9303,9.9,0.04,0.538
226-250,University College Dublin,Republic of Ireland,31.7,79.4,28.1,61.7,33.8,22193,24.5,0.23,1
226-250,University of Calgary,Canada,34.4,63.1,30.5,59.4,41.5,28341,16.5,0.17,1.128
226-250,University of Gothenburg,Sweden,24.1,46.8,38.2,64.4,37,26420,16.4,0.12,1
226-250,University of Kiel,Germany,31.1,44.2,24.3,70.8,42,24444,23.8,0.08,1.128
226-250,University of Konstanz,Germany,30.5,57,33.4,59.4,52.5,10930,59.1,0.12,1.174
226-250,University of Milan-Bicocca,Italy,27.1,40.6,23,76.6,45,33370,72.5,0.05,1.5
226-250,University of Technology Sydney,Australia,27.8,86.9,32.5,58.7,40.1,24519,44.1,0.31,1.128
226-250,University of Western Ontario,Canada,38.3,63.7,35.7,47,50.7,27387,20.7,0.16,1.174
226-250,University of Würzburg,Germany,28.6,50.2,17.3,81.4,30,26576,38.4,0.08,1.326
226-250,Vienna University of Technology,Austria,43.3,75.9,32.4,41.7,64.1,26419,52,0.27,0.37
226-250,York University,Canada,27.5,59.7,35.3,62.9,34.1,48007,39.4,0.09,1.439
251-275,Aalto University,Finland,31.8,59.4,31.3,50.2,64.5,16099,24.2,0.17,0.471
251-275,Federico Santa María Technical University,Chile,13,48.7,10.1,99.7,28.1,11718,34,0.02,0.316
251-275,Medical University of Vienna,Austria,28.6,73.1,17,71.1,33.7,7426,2.9,0.28,1
251-275,Nanjing University,China,34.6,50.2,23.3,59.6,51.7,29743,13.3,0.1,0.852
251-275,National Tsing Hua University,Taiwan,39.4,24.8,40.3,49.1,49.4,10221,13.5,0.05,0.493
251-275,"National University of Ireland, Galway",Republic of Ireland,26.7,71.7,24.8,62.8,43.1,14067,26.8,0.14,1.273
251-275,Queen’s University,Canada,37.3,55.4,33.4,48.2,59,20488,22.1,0.1,1.381
251-275,Queen’s University Belfast,United Kingdom,30.1,88.6,25.1,52.2,43.7,17940,17.9,0.3,1.174
251-275,Swedish University of Agricultural Sciences,Sweden,27.9,49.6,25.2,59.9,99.8,3879,4.6,0,2.03
251-275,Technical University of Darmstadt,Germany,36.9,59.6,33.7,42,88.9,20300,53.6,0.18,0.389
251-275,University of Bremen,Germany,33.9,53,27.6,55.7,46.3,18590,25.6,0.11,1
251-275,University of Iceland,Iceland,14.9,59.1,24.7,74.8,64,13960,25.9,0.08,1.941
251-275,University of Münster,Germany,30.6,48.2,18.1,73,38.2,39838,46.1,0.08,1.128
251-275,University of Newcastle,Australia,26.5,70.6,29.9,57.5,75.6,23508,21.9,0.18,1.273
251-275,University of Otago,New Zealand,27.1,81.5,27.7,57.6,31.9,18600,20.3,0.21,1.326
251-275,University of Pavia,Italy,26.3,43.5,19.2,75.6,64.4,22958,40.6,0.06,1.273
251-275,University of Salento,Italy,32.3,40.3,25.6,64.5,38.4,19959,58.4,0.01,1.778
251-275,University of South Florida,United States of America,27.7,41,37.9,55.1,99.8,31424,21.5,0.1,1
251-275,"University of the Andes, Colombia",Colombia,17.3,54.6,12.1,89.8,36.5,15773,16.9,0.02,0.786
251-275,University of the Witwatersrand,South Africa,22.3,66.3,21.7,67.3,94.8,23321,18.6,0.09,1.273
251-275,University of Trento,Italy,26.8,57.3,20.3,70.3,46,16841,43.2,0.08,1.041
251-275,University of Turin,Italy,29.4,39.3,20.3,72.5,40.8,67552,66,0.06,1.632
251-275,University of Waterloo,Canada,30.9,63.1,40.4,47,41.7,30726,24.2,0.14,0.818
276-300,Chalmers University of Technology,Sweden,35.7,62.5,32.8,40.8,75.8,8605,11.6,0.15,0.429
276-300,Colorado State University,United States of America,27.6,30.4,31.3,59.9,38.8,26769,19,0.05,1.083
276-300,Indian Institute of Science,India,32.6,18.2,39.5,51.6,37.9,3318,8.2,0.01,0.235
276-300,Lappeenranta University of Technology,Finland,25.2,59.1,25.5,59.9,73.8,3486,23.9,0.19,0.449
276-300,Montpellier University,France,23.7,56.6,22.5,67.4,33.6,36731,18.4,0.14,1.041
276-300,National Chiao Tung University,Taiwan,35,30.7,40.7,40.4,98.2,12646,16.6,0.05,0.37
276-300,Norwegian University of Science and Technology,Norway,33.5,54.7,29.6,49.6,45,17381,13.9,0.09,0.852
276-300,Panjab University,India,23.7,29.2,10.5,84.4,28.3,16691,23.9,0.01,0.852
276-300,Plymouth University,United Kingdom,18.4,51.3,18.1,80.5,28.8,24121,25.9,0.13,1.083
276-300,Queensland University of Technology,Australia,29.9,69.8,36,42.9,71.9,33391,35.8,0.17,1.174
276-300,Shanghai Jiao Tong University,China,37.9,23.9,37.9,38.9,88.4,38191,12.8,0.06,0.587
276-300,Stellenbosch University,South Africa,30,47.8,31.2,45.6,94.7,21849,23,0.08,1.128
