world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
37,Australian National University,Australia,68.6,90,83.5,73.5,39.6,14604,19.2,0.35,1.083
38,"University of California, San Diego",United States of America,63.4,34.2,79,96.2,43.9,27233,6.5,0.11,0.923
40,École Polytechnique Fédérale de Lausanne,Switzerland,62.4,98.8,57,95,49.8,9666,10.5,0.54,0.37
41,New York University,United States of America,73.8,38.7,67.4,89.2,29.5,42056,6.8,0.19,1.222
42,Karolinska Institute,Sweden,66.3,64.5,75.7,77.3,71.4,7774,11.5,0.22,2.333
42,University of North Carolina at Chapel Hill,United States of America,70.4,32.9,69.3,90.1,40,26518,7.3,0.08,1.381
44,"University of California, Davis",United States of America,67.9,51.7,71.6,82.7,52.5,35364,13.9,0.13,1.174
44,Washington University in St Louis,United States of America,66,44.3,62.8,95.2,51.1,12528,5.7,0.17,1
46,Peking University,China,81.5,54.1,67.9,64.3,99.9,40148,8.3,0.14,1
47,University of Minnesota,United States of America,66.1,28.7,74,84.7,36.3,46825,18,0.13,1.083
48,LMU Munich,Germany,65.4,54.7,66.5,85.5,42,35691,15.5,0.13,1.632
49,University of Manchester,United Kingdom,65.9,77.9,67.7,76.9,43.2,34938,15.3,0.34,1.083
50,Pohang University of Science and Technology,South Korea,63.9,28.8,63.9,88.2,100,3055,10.1,0.04,0.25
51,Brown University,United States of America,63.7,36.9,60.3,94.1,29.9,8653,10.1,0.19,1
52,Tsinghua University,China,74.5,37.2,76.4,55.2,99.2,39763,13.7,0.1,0.471
53,Ohio State University,United States of America,66.7,46.3,60.9,80.1,49.5,51462,13.4,0.12,0.961
54,Boston University,United States of America,65.4,39.2,50.9,94.2,30.6,24789,8.6,0.17,1.381
54,Kyoto University,Japan,77.1,26.3,74.8,57.8,76.4,22809,5.6,0.07,1
56,University of Southern California,United States of America,68.4,43.4,57.1,81.9,33.5,36534,12.9,0.2,1.083
57,King’s College London,United Kingdom,53.5,86,59.3,82.8,42.4,21394,11.4,0.37,1.564
58,KU Leuven,Belgium,59.7,56.6,71,67.2,99.7,42503,41.9,0.18,1.174
59,Seoul National University,South Korea,76.7,27,81.4,48,81.7,26389,13.9,0.1,1
59,École Normale Supérieure,France,61.6,67.3,46.9,90.3,47.2,2400,7.9,0.2,0.852
61,Pennsylvania State University,United States of America,55,34.9,69.2,81.4,59.7,44501,12.4,0.12,0.852
62,University of Sydney,Australia,59.5,83,70.1,62.9,69.2,41868,20.2,0.28,1.326
62,École Polytechnique,France,56.5,83,54.7,80.7,75.8,2429,4.8,0.3,0.22
64,Leiden University,Netherlands,54,54.8,67.1,78.4,46.1,21222,17.1,0.1,1.439
65,Hong Kong University of Science and Technology,Hong Kong,56.9,78.1,64.6,68.9,55.6,11385,23.8,0.36,1
65,The University of Queensland,Australia,54.4,77.8,66.1,69.6,64,34718,32.7,0.27,1.128
67,Utrecht University,Netherlands,48,47.3,64.7,82.4,82.6,30779,15.4,0.07,1.439
68,Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.9,31.1,68.9,58.4,100,9027,10,0.09,0.25
69,Purdue University,United States of America,59.8,54.8,71.9,63.1,50,39256,18.1,0.22,0.724
70,University of Göttingen,Germany,50,51,52.5,92.5,34.4,25581,25.6,0.12,1.041
70,Wageningen University and Research Center,Netherlands,54.9,79.2,53.7,73.8,100,9248,17,0.21,1.273
72,Erasmus University Rotterdam,Netherlands,44.5,62.8,64.1,80.2,62,20580,18.9,0.18,0.923
72,University of Massachusetts,United States of America,57.1,31.7,62.6,77.8,52.8,56959,13,0.11,0.961
74,University of Bristol,United Kingdom,50.1,71.9,51.7,85.4,38.7,17906,14,0.25,1.128
75,Rice University,United States of America,49.5,59,39.3,100,36.5,6333,9,0.26,0.786
76,University of Pittsburgh,United States of America,54.6,29.4,55.1,85.2,39.3,26485,5.8,0.1,1.041
77,Delft University of Technology,Netherlands,59.9,67.7,75.1,45.1,99.9,15920,19.4,0.25,0.351
78,Heidelberg University,Germany,61.4,61.3,49,75.5,40.7,28881,24.5,0.17,1.222
79,Emory University,United States of America,56.7,36.6,44.4,90.9,38.3,12338,4.5,0.18,1.273
80,Durham University,United Kingdom,42.3,77.7,44.5,93.3,34.3,15489,15.7,0.24,1.174
81,Pierre and Marie Curie University,France,59.2,64.4,43.5,80.6,28.6,27862,8.7,0.18,0.923
82,Lund University,Sweden,43.6,64.4,61.3,77.1,34.2,28251,11.5,0.15,1
83,University of Amsterdam,Netherlands,45.6,57,61.3,75.1,49,24570,14.4,0.11,1.128
84,University of Montreal,Canada,54,74.6,57.9,60.9,95,38264,20.3,0.25,1.326
85,University of New South Wales,Australia,52.6,84.8,63.8,56.7,50.5,38309,25.9,0.33,0.887
86,Nanyang Technological University,Singapore,45.7,90.5,66.9,54.5,99.5,25028,16.2,0.33,0.923
87,Tufts University,United States of America,52.6,39.6,36.4,94.8,39.4,10410,10,0.14,1.174
88,McMaster University,Canada,42.3,66.9,47.9,81.7,98,23823,19.3,0.15,1.128
89,University of Groningen,Netherlands,43.8,49.8,61,71.6,85.2,24556,25.6,0.12,1.083
89,University of Zurich,Switzerland,50,84.1,41.6,80,38.3,26583,6.5,0.19,1.326
91,University of Colorado Boulder,United States of America,42.3,34.7,44.4,97.1,38.3,29325,16.1,0.08,0.818
92,Paris-Sud University,France,48,63.9,45.9,82.9,28.4,27603,15,0.17,1
93,Ghent University,Belgium,46.4,49.1,56.7,71.3,95.9,32166,34.1,0.09,1.326
94,Michigan State University,United States of America,51.8,36.8,56.8,73.8,32.6,44750,15.7,0.15,1.041
94,University of Notre Dame,United States of America,48.3,41.6,39.6,93.5,29.8,11829,13.8,0.1,0.786
96,"University of California, Irvine",United States of America,44,35.2,47.2,90.3,42.1,26614,16.1,0.16,1.083
97,"University of Maryland, College Park",United States of America,44.9,40.4,51.4,83.9,32.1,31331,8.4,0.09,0.923
98,University of Arizona,United States of America,47,31.3,53.7,76.9,83.9,36429,12.7,0.08,1.083
99,Humboldt University of Berlin,Germany,55.4,57.5,58.7,59.5,44.3,29987,52.5,0.16,1
99,Monash University,Australia,47.8,66.4,60.6,60.9,70,50882,40.5,0.36,1.273
99,"Rutgers, the State University of New Jersey",United States of America,50.9,27.9,61.3,69.5,35.8,37032,17.3,0.08,1.041
102,University of Rochester,United States of America,46,45.9,37.8,92.3,39.6,9390,4.5,0.26,0.961
104,Case Western Reserve University,United States of America,56.5,34.2,42,80.4,26.6,9259,6.4,0.17,0.923
105,Technical University of Munich,Germany,51.2,61.5,42.4,76.5,49.7,35565,31.5,0.2,0.493
106,Uppsala University,Sweden,48.6,56.3,63.9,58.2,44.1,25266,18.2,0.12,1.326
106,Vanderbilt University,United States of America,51.5,27.5,40.9,85,53,12161,3.6,0.1,1.083
108,University of St Andrews,United Kingdom,43.2,86.3,43.8,76.6,38.9,8338,12.7,0.47,1.273
109,University of Helsinki,Finland,42.8,48.3,53,77.7,31.1,23505,15.1,0.06,1.941
110,Trinity College Dublin,Republic of Ireland,41.9,84.5,33.5,88.1,32.8,15521,18,0.25,1.326
110,University of Sheffield,United Kingdom,49.5,68.1,46.2,71,41.5,23311,15.5,0.31,1
110,University of Sussex,United Kingdom,34.9,76.7,39.5,91.1,32.1,12001,17.4,0.35,1.174
113,University of Cape Town,South Africa,34.7,75.1,45.5,79.7,87.3,20040,12.1,0.18,1.128
114,Eindhoven University of Technology,Netherlands,44.1,69.8,51.8,63.8,100,8176,16,0.14,0.235
115,Maastricht University,Netherlands,39.7,85.2,53.2,62.5,99.1,15626,18.9,0.48,1.273
116,Aarhus University,Denmark,35.7,66.4,54.6,71.6,69.7,23895,13.6,0.14,1.174
117,Stockholm University,Sweden,31.3,52.2,43.8,93,32,31715,23.7,0.08,1.632
118,University of Virginia,United States of America,55.9,27.9,43,73.5,48.6,23845,10.2,0.12,1.083
119,"Royal Holloway, University of London",United Kingdom,30.5,92.5,27.7,99,31.9,8747,15.9,0.37,1.326
120,University of Nottingham,United Kingdom,48.1,70.1,50.8,62.8,38.3,30144,15,0.27,1.174
121,University of Alberta,Canada,50.9,67.6,53.9,56.6,50.6,36299,21.6,0.23,1.222
122,"University of California, Santa Cruz",United States of America,32.1,32.5,39.6,99.9,23.3,17404,22.7,0.01,1.128
122,University of Florida,United States of America,52,31.2,62.9,56,35.6,50095,18.7,0.09,1.174
124,Chinese University of Hong Kong,Hong Kong,53.7,62.6,63.1,45.1,44.5,17916,10.2,0.22,1.128
124,Dartmouth College,United States of America,47.5,31.5,35.9,87,38.6,6178,6.6,0.16,0.887
124,University of Warwick,United Kingdom,48.9,80.9,50.5,58.8,35.3,18529,16.6,0.37,0.923
127,Radboud University Nijmegen,Netherlands,35.7,53.4,54.3,73.3,41.7,17713,13,0.1,1.381
128,Free University of Berlin,Germany,53.1,60.9,56.5,51.5,32.8,33062,39.3,0.2,1.381
128,Tokyo Institute of Technology,Japan,58,29.6,56.1,52,65.3,9586,7.3,0.13,0.149
130,University of Copenhagen,Denmark,42.2,73.5,40.4,74.3,39.7,27545,4.1,0.19,2.03
130,University of Lausanne,Switzerland,33,82.7,44.8,76.2,45.8,11964,13.1,0.22,1
130,University of Southampton,United Kingdom,37.9,77.4,38.9,79.2,41.8,20925,13.5,0.29,1.128
133,University of Geneva,Switzerland,36.2,95.3,42.5,73.1,32.4,15668,15,0.39,1.564
134,Indiana University,United States of America,48.3,36,44.2,72.5,40,62468,13.6,0.13,1.128
134,National Taiwan University,Taiwan,56.4,24.6,65.7,45.5,44,31891,11.9,0.07,0.639
134,University of Utah,United States of America,43.3,25.2,41.3,81,63.3,25674,16.9,0.09,0.818
137,Hebrew University of Jerusalem,Israel,48.8,50.3,55.8,57,33.6,17612,10.7,0.05,1.222
137,Tohoku University,Japan,57.7,32,55.6,48.9,80.7,17200,5,0.07,0.333
139,University of Glasgow,United Kingdom,37.3,69.7,40.2,78.1,44.1,22616,16,0.29,1.326
140,KTH Royal Institute of Technology,Sweden,47.5,86.1,49.7,49.1,100,12062,14.6,0.21,0.429
140,VU University Amsterdam,Netherlands,40.5,47.1,45.1,74.2,58.5,23280,16.3,0.06,1.273
142,University of Basel,Switzerland,37.1,89.8,23.2,87.8,64.2,12551,17.3,0.24,1.174
142,University of Leeds,United Kingdom,41.5,66.6,48.6,65.8,41.3,27703,14.7,0.21,1.381
144,University of Freiburg,Germany,48.3,54.9,33,72.4,81.1,26467,31.2,0.16,1.083
145,Lancaster University,United Kingdom,37.7,76.2,40.9,73.2,31.8,11512,14.9,0.33,1.083
145,Queen Mary University of London,United Kingdom,33.1,87,30,85.4,42.7,14260,14,0.4,1.083
147,Osaka University,Japan,59.5,23.6,55.7,46.4,69.6,23144,7.8,0.09,0.449
148,Arizona State University,United States of America,38.4,27.4,45.2,79.9,31.8,83236,29.9,0.09,1
149,Technical University of Denmark,Denmark,37.9,77,30,76.9,98.7,9990,5,0.18,0.37
150,Boston College,United States of America,34.5,52.4,33.2,88.7,30,13216,17.4,0.19,1.174
151,Karlsruhe Institute of Technology,Germany,46.3,64.5,38.9,63.4,82.9,25294,24.6,0.16,0.351
151,University of Bern,Switzerland,43,77.3,36,69.7,42,14708,22.5,0.14,1.174
153,University of Exeter,United Kingdom,33.2,74.1,38.1,78.1,37.1,17755,18.8,0.28,1.174
154,RWTH Aachen University,Germany,45.3,53.9,32.4,73.8,63.1,37917,27.6,0.16,0.449
154,"University of California, Riverside",United States of America,29.1,62.8,32.5,90.3,33.5,20626,22,0.12,1.041
156,Texas A&M University,United States of America,46.4,47.2,58.3,49.3,45.5,50657,21.4,0.09,0.887
156,Yeshiva University,United States of America,51.7,28.4,30.1,78.8,23.6,6753,5.5,0.07,1.128
158,Tel Aviv University,Israel,50.7,39.5,59.8,43.7,49.2,23977,24.4,0.04,1
158,University of Birmingham,United Kingdom,44.8,69.7,46.7,56.3,38.4,25295,16.4,0.23,1.174
158,University of São Paulo,Brazil,63,24.5,65.7,30.2,40,81402,14.6,0.04,0.923
161,University of Auckland,New Zealand,34,88,40.9,64.2,76.6,29787,18.9,0.28,1.174
162,Stony Brook University,United States of America,38.8,52.8,29.9,82.9,31.6,21908,10.9,0.24,1
162,University of Vienna,Austria,44.3,86.3,46.7,52.4,29.1,34651,20.5,0.25,2.03
164,Université Catholique de Louvain,Belgium,38.6,64.3,40.5,68.8,34.5,28856,42,0.19,1.174
165,University of Delaware,United States of America,30,37.3,41.6,76.6,97.7,19262,15.9,0.1,1.273
166,Paris Diderot University – Paris 7,France,31.9,66.8,27.1,87.9,20.8,27756,14.8,0.17,1.703
167,University of Texas at Dallas,United States of America,32.6,46.8,32.2,85.2,40,16306,22.8,0.23,0.786
168,George Washington University,United States of America,48.1,36.6,28,77.1,30,20541,12,0.16,1.273
169,University of Iowa,United States of America,49,26.4,40.9,65.7,25.6,27526,11.6,0.11,1.083
170,École Normale Supérieure de Lyon,France,40.8,61,25.9,79.6,28.9,2218,8,0.14,0.961
171,University of Bonn,Germany,40.9,54,26.1,80.4,29.2,32474,70.4,0.13,1.222
171,University of Liverpool,United Kingdom,38.7,73.7,37.5,64.8,46.4,18815,13.6,0.3,1.083
171,University of Ottawa,Canada,40.8,58.1,41.4,63.1,43,36733,26.3,0.15,1.5
174,Georgetown University,United States of America,56.4,32.9,35.6,59.8,35.7,15408,8.5,0.14,1.128
174,Rensselaer Polytechnic Institute,United States of America,36.2,32.9,40.2,73,66.8,6671,15,0.16,0.429
176,University of Aberdeen,United Kingdom,31.9,84.1,34.3,71.5,48.9,12938,15.8,0.33,1.174
176,University of Adelaide,Australia,37.3,82.2,43.7,55.9,63.2,20771,30.1,0.26,0.923
176,University of East Anglia,United Kingdom,29.6,68.9,27.7,85.5,30.7,14992,14.7,0.28,1.381
176,University of Reading,United Kingdom,39.3,72.4,41.1,61.3,35.2,12050,14.8,0.28,1.222
180,Joseph Fourier University,France,36.6,56.3,26.5,81.8,36.3,16130,12.1,0.13,1
180,Newcastle University,United Kingdom,37.9,74.4,30.5,72.1,37.4,20174,15.2,0.29,1
182,City University of Hong Kong,Hong Kong,35.2,64,41.8,64.1,53.6,10015,7.1,0.28,1.041
183,Yonsei University,South Korea,48.3,33.4,50.6,48.6,56.1,24774,11.6,0.14,1
184,Colorado School of Mines,United States of America,24.9,51.2,22.5,94.3,66,5287,18.2,0.12,0.351
184,University of Illinois at Chicago,United States of America,53.9,29.1,42.6,52.9,40.4,24313,9.2,0.17,1.128
184,William & Mary,United States of America,41.3,25.8,22.6,87.1,29.9,7867,11.8,0.07,1.174
187,University College Dublin,Republic of Ireland,31.1,76.5,31.8,74.9,35.3,22193,24.5,0.23,1
187,University of Twente,Netherlands,35.8,61.5,46.4,55.6,79.7,6631,12,0.26,0.587
190,University of Western Australia,Australia,35,88.4,39.9,55.7,60,20851,20.7,0.27,1
190,Wake Forest University,United States of America,37.5,19,22.4,89.1,48,7326,4.6,0.05,1.041
192,University of Antwerp,Belgium,33.8,58.5,35.5,64.8,100,12346,30.3,0.16,1.273
193,Iowa State University,United States of America,35.7,30.5,34.3,74.9,44,29991,17.4,0.11,0.786
193,Technion Israel Institute of Technology,Israel,44.8,55.9,50.2,44,40.8,13855,19.4,0.04,0.538
193,University of Miami,United States of America,48.7,33.1,27,69.7,31.9,15286,5.7,0.14,1
196,University of Leicester,United Kingdom,33,83.7,32.5,66.5,34.9,14541,13.4,0.35,1.174
196,University of Victoria,Canada,20.2,65.9,33.7,82.7,30.6,17581,21.5,0.11,1.273
198,University at Buffalo,United States of America,46.3,50.7,40.6,52.1,42.4,25668,19,0.19,0.887
199,Goethe University Frankfurt,Germany,33.3,57.6,29.7,73.9,41.4,31861,9.3,0.15,1.5
200,"Birkbeck, University of London",United Kingdom,27.6,83.2,30.5,72.8,29.4,9454,17.2,0.38,1.222
201-225,Autonomous University of Barcelona,Spain,39,47.1,35.7,62.8,37.3,30538,12.3,0.1,1.439
201-225,Brandeis University,United States of America,27.3,45.3,27.9,83.1,37.4,5495,12.6,0.22,1.222
201-225,Cardiff University,United Kingdom,32.5,68.1,38.2,60.2,39.8,23347,13.1,0.23,1.326
201-225,Fudan University,China,45.3,38.6,39.5,51.3,46.3,32175,12.2,0.11,1
201-225,Johannes Gutenberg University of Mainz,Germany,33.5,57,18.4,85.2,30.1,35609,32.6,0.1,1.381
201-225,Lomonosov Moscow State University,Russian Federation,63.5,50.3,48.1,19.7,70.1,30822,7.7,0.2,0.754
201-225,Middle East Technical University,Turkey,50.8,28,46,44.6,50.6,25779,22.2,0.07,0.786
201-225,Nagoya University,Japan,44.2,25.3,39.2,53.3,35.5,15529,7.9,0.1,0.408
201-225,Northeastern University,United States of America,40.1,41,21.2,76.4,33.8,18539,15.1,0.26,1
201-225,Pompeu Fabra University,Spain,27.3,49.9,23.2,77.5,34.2,10901,18.3,0.13,1.439
201-225,Queen’s University,Canada,39.5,58,35.4,51.2,77.3,20488,22.1,0.1,1.381
201-225,"St George’s, University of London",United Kingdom,20,57.9,22.6,89.7,44.1,2958,13.4,0.17,1.564
201-225,Sungkyunkwan University (SKKU),South Korea,47.1,30.9,48.7,39.3,98.7,24365,20.3,0.09,0.639
201-225,Tilburg University,Netherlands,38.2,56.6,54.5,33.7,54.8,7576,22.4,0.1,0.961
201-225,University of Barcelona,Spain,32.5,46,33.4,71.4,30.9,47491,12.2,0.1,1.632
201-225,University of Dundee,United Kingdom,24.8,66.6,23.2,81.1,49.9,11628,15.3,0.25,1.5
201-225,University of Erlangen-Nuremberg,Germany,35,49,18.7,74.6,45.2,36146,53.9,0.09,0.961
201-225,University of Georgia,United States of America,45.4,36.2,40.1,46.8,31.3,33119,19.9,0.07,1.326
201-225,University of Gothenburg,Sweden,28.3,48.4,41.9,63.8,38.6,26420,16.4,0.12,1
201-225,University of Innsbruck,Austria,36.6,88.7,17.9,71.6,38.2,18209,16.9,0.39,1.174
201-225,University of Konstanz,Germany,32.6,58.5,35.6,64.5,51.9,10930,59.1,0.12,1.174
201-225,University of Oslo,Norway,33.5,59,39.8,62.3,31.4,27139,18.8,0.18,1
201-225,University of Science and Technology of China,China,39.2,22,27.7,72.7,50.1,14290,7.9,0.02,1
201-225,University of Strasbourg,France,29.7,68.3,29.2,72,34.8,46208,17.8,0.21,1.381
201-225,University of Tübingen,Germany,36.3,56.3,25.1,73.8,31.6,28327,38.9,0.12,1.381
226-250,Chalmers University of Technology,Sweden,29.9,65.3,41.5,47.7,78.5,8605,11.6,0.15,0.429
226-250,Florida Institute of Technology,United States of America,16.2,58.4,11.9,92.5,28.7,4408,13.7,0.26,0.515
226-250,Indian Institute of Technology Kharagpur,India,44.2,16.1,45.3,39,72.4,9928,17.5,0,0.176
226-250,Korea University,South Korea,44.7,27.3,43.7,39.4,52.1,24043,15.8,0.14,1
226-250,Koç University,Turkey,20.4,52.8,22.3,79.2,37.9,4488,14.6,0.08,1.083
226-250,Laval University,Canada,36.4,54.4,27.3,57.5,56.6,27227,16.2,0.12,1
226-250,Mines ParisTech,France,39.5,62.4,25.6,51.7,99.4,1283,5.6,0.22,0.389
226-250,National Research Nuclear University MePhI,Russian Federation,20.9,18.8,10.6,100,59.6,7801,7.3,0.07,0.408
226-250,National Tsing Hua University,Taiwan,45.5,20.1,44.1,44.4,44,10221,13.5,0.05,0.493
226-250,Simon Fraser University,Canada,24,55.6,35.3,61,41.6,26640,28.3,0.19,1.222
226-250,Technical University of Darmstadt,Germany,37.8,64.4,31.8,44.4,84.4,20300,53.6,0.18,0.389
226-250,University of Bergen,Norway,28.3,71,26.8,66.2,41.1,11623,11.1,0.12,1.5
226-250,University of Calgary,Canada,37.3,62.2,35.8,47.1,42.8,28341,16.5,0.17,1.128
226-250,University of Cincinnati,United States of America,34.9,23.9,26.5,69.5,35.8,36108,15.7,0.06,1.174
226-250,University of Missouri,United States of America,40.4,30.8,45.8,45.2,31.1,29885,14.1,0.05,1.128
226-250,University of Otago,New Zealand,28.8,85.4,30.9,54.8,37.2,18600,20.3,0.21,1.326
226-250,University of South Florida,United States of America,32.6,19.7,42,48.4,98.9,31424,21.5,0.1,1
226-250,University of the Witwatersrand,South Africa,28.6,65.1,38.3,49.8,98.4,23321,18.6,0.09,1.273
226-250,University of Waterloo,Canada,34.7,58.3,42.1,41.8,39.4,30726,24.2,0.14,0.818
226-250,University of Western Ontario,Canada,39.4,51.3,37.2,44.8,44.6,27387,20.7,0.16,1.174
226-250,University of Würzburg,Germany,33,44.8,19.4,70.9,30.4,26576,38.4,0.08,1.326
226-250,Université Libre de Bruxelles,Belgium,25.6,78.2,30.6,59.3,54.9,23819,26.1,0.32,1.174
251-275,Aalto University,Finland,34.4,52,26.8,50.1,73.7,16099,24.2,0.17,0.471
251-275,Dalhousie University,Canada,30.2,59.1,29.8,54.3,65,15064,14.4,0.18,1.222
251-275,Hong Kong Polytechnic University,Hong Kong,34.6,65.4,41.2,39.8,42.2,22064,25.9,0.26,1.041
251-275,Indian Institute of Technology Bombay,India,47.3,19.9,33.1,45.6,52.7,8327,14.9,0.01,0.19
251-275,Macquarie University,Australia,22,86.8,29.6,54.8,37.2,27930,20,0.44,1.222
251-275,Nanjing University,China,41.3,48.4,25.3,52.1,47.7,29743,13.3,0.1,0.852
251-275,National Chiao Tung University,Taiwan,39.6,27.2,49.6,31.5,99,12646,16.6,0.05,0.37
251-275,Norwegian University of Science and Technology,Norway,34.2,57.5,27.7,50.8,45.2,17381,13.9,0.09,0.852
251-275,Queensland University of Technology,Australia,27.6,69.2,37,47,58.9,33391,35.8,0.17,1.174
251-275,State University of Campinas,Brazil,51.7,20.9,46.8,26.5,44.9,27095,15.3,0.03,0.923
251-275,Stellenbosch University,South Africa,31.5,47.8,35,48.9,96.6,21849,23,0.08,1.128
251-275,Tokyo Metropolitan University,Japan,19,19.6,9.8,97.1,31.1,9303,9.9,0.04,0.538
251-275,Umeå University,Sweden,23.5,52.4,34.5,59.6,29.7,16667,11.9,0.07,1.5
251-275,University of Connecticut,United States of America,42.5,40.5,29.7,50,32.6,25742,13,0.11,1.041
251-275,University of Essex,United Kingdom,33.7,86.4,34.6,39.6,31,12695,19.8,0.39,1.222
251-275,University of Iceland,Iceland,11.4,59.9,28,71,74.4,13960,25.9,0.08,1.941
251-275,University of Kiel,Germany,32.1,44.6,27,62.5,35.6,24444,23.8,0.08,1.128
251-275,University of Milan,Italy,36.3,35.7,24.2,61,38.2,58618,24.3,0.05,1.5
251-275,University of Milan-Bicocca,Italy,26.1,36.2,21.1,76,39,33370,72.5,0.05,1.5
251-275,University of Münster,Germany,35.9,43.2,20.4,63.6,38.2,39838,46.1,0.08,1.128
251-275,University of Trieste,Italy,19.6,48.5,14.3,82.2,33.6,18135,25.8,0.09,1.273
251-275,Victoria University of Wellington,New Zealand,22.3,84.8,29.1,55.6,43,17142,21.1,0.21,1.222
251-275,Vienna University of Technology,Austria,44.8,71.4,32.4,34.2,65.5,26419,52,0.27,0.37
276-300,Aberystwyth University,United Kingdom,23.8,63.1,21.7,64.3,34.9,9252,19.2,0.18,0.923
276-300,Bangor University,United Kingdom,27.6,70.3,25.7,53.8,31.6,9567,19.5,0.22,1.222
276-300,Bayreuth University,Germany,25.6,50.4,14.9,72.1,35.4,12520,35.5,0.08,0.852
276-300,Bielefeld University,Germany,27.4,47.5,20.3,63.5,35.1,21428,67.8,0.08,1.326
276-300,Boğaziçi University,Turkey,35.4,36.7,33.9,48.1,38.4,11506,25,0.07,1
276-300,Drexel University,United States of America,34.7,36.6,14.9,65.1,34.7,20713,10.8,0.18,0.923
276-300,Istanbul Technical University,Turkey,34.9,20.8,25.5,52.9,98,34550,16,0.05,0.515
276-300,Montpellier University,France,22.2,54.2,25.8,64.4,32.8,36731,18.4,0.14,1.041
276-300,Oregon State University,United States of America,27.1,34.2,24.2,64.1,31,22578,16.8,0.09,0.887
276-300,Queen’s University Belfast,United Kingdom,28,87.1,23.8,52.2,48.1,17940,17.9,0.3,1.174
276-300,Ruhr University Bochum,Germany,36.7,48.3,32.9,42.4,54.3,38675,46.3,0.13,0.923
276-300,Shanghai Jiao Tong University,China,43.4,20.7,37.9,31.3,76.1,38191,12.8,0.06,0.587
